№   ;Tuman;Mahalla (МFY);Manzil;Yer maydoni chegaralarining burilish nuqtalari koordinatalari;;"Maydoni
(m2)";
;;;;Uzunlik;Kenglik;;
;;;;41.31397795387566;69.23704290849916 ;;
;;;;41.313932101286795;69.23702625628344;;
;;;;41.314060278308524;69.23672277631638;;
28;Shayxontoxur tumani;Урда; Botir Zokirpv ko‘chasi 6-uy manzilidagi (Olimpiya qo‘mitasi binosining yon tomoni) hududni;41.31717878453255;69.25467198535767;140 m2;бўш
;;;;41.317155466791824;69.2550096358764;;
;;;;41.31710777209283;69.25500489598721;;
;;;;41.317136572336516;69.2546706514369;;
29;Yunusobod tumani;;Bog‘ishamol ko‘chasidagi avtoturargoh.;;;0 m2;
;;;;;;;
;;;;;;;
;;;;;;;
30;Yunusobod tumani;Актепа; Bo‘zsuv 1-berk ko‘chasida joylashgan (“Hayat River” restorani) hududi;41.36510521975463;69.33037591798585;140 m2;бўш
;;;;41.36509425308403;69.330442530049;;
;;;;41.36486640196671;69.33033329792478;;
;;;;41.36490468685023;69.33027404814304;;
31;Yunusobod tumani;Минор; Amir Temur shohko‘chasida joylashgan (“Amir” biznes-markazi) hududi;41.331070129689365;69.2829941948649;70 m2;бўш
;;;;41.331047888305235;69.28317376318854;;
;;;;41.331004808544755;69.2831681815767;;
;;;;41.33102982200602;69.28298494550695;;
32;Yunusobod tumani;Матонат;Abdulla Qodiriy ko‘chasi 38a-uy ko‘chasida joylashgan (The watch outlet) hududi;41.32266828477614;69.27711491263278;70 m2;бўш
;;;;41.3226446287906;69.27727110524617;;
;;;;41.32260559853209;69.27726000523234;;
;;;;41.32262239579532;69.2771037819097;;
33;Yunusobod tumani;Бадамзар; Bog‘ishamol ko‘chasi, 57-uy ko‘chasida joylashgan (Fuqarolik ishlari bo‘yicha Mirzo Ulug‘bek tuman sudi) hududi;41.34071781028953;69.29343838363272;70 m2;бўш
;;;;41.34071644576075;69.29348647622334;;
;;;;41.34058036493342;69.2934587743804;;
;;;;41.3405761958122;69.29341436519815;;
34;Yunusobod tumani;Астрабад; Rixsiliy ko‘chasida joylashgan (Korzinka) hududni;41.37263795918766;69.27403654160081;70 m2;10:07:45:02:02:0116 туман хокимлиги
;;;;41.37253659446398;69.2741439034924;;
;;;;41.37251174484768;69.27409202923064;;
;;;;41.37261295626351;69.27398654500138;;
35;Yakkasaroy tumani;Бобур; Bobur ko‘chasida joylashgan (“Do‘stlik” parki) hududn;41.273733859149736;69.26038576177949;140 m2;бўш
;;;;41.273754527843366;69.26044360832765;;
;;;;41.27398259575244;69.26030800084591;;
;;;;41.27396477797574;69.2602577407303;;
36;Olmazor tumani;Шифокорлар;Forobiy ko‘chasi 448a-uy manzilida joylashgan hududni ;41.349303090562714; 69.17768468867449;70 m2;бўш
;;;;41.349336465222144;69.17784742846281;;
;;;;41.34929339162339;69.17786039023797;;
;;;;41.349264230665845;69.17769755129444;;
37;Chilonzor tumani;Botirma MFY; Chilonzor ko‘chasi 55-uy manzilida joylashgan (“Chilonzor” savdo markazi) hudud;41.282748286136226;69.22282448099747;140 m2;бўш
;;;;41.282714906483136; 69.22285784763751;;
;;;;41.28253010944611;69.22261169156076;;
;;;;41.28256352701356;69.22256919374071;;
38;Mirobod tumani;Тонг Юлдузи; Farg‘ona yo‘li ko‘chasi 222/8-uy manzilida joylashgan (“Yangi Hayot” turar-joy majmuasi) hudud;41.28354334810743;69.30492588379143;105 m2;бўш
;;;;41.28335775874154;69.30502963518377;;
;;;;41.283333182941185;69.30495407710455;;
;;;;41.283520467255215; 69.30484807024717;;
39;Yangixayot tumani;Янги Дархан;Navro‘z ko‘chasi 22-uy manzilda joylashgan (Simma hotel) hudud;41.2235609374314;69.2000143807756;140 m2;10:12:41:01:01:0062 туташ худуд
;;;;41.22381104470747;69.20001358335006;;
;;;;41.223810444930955;69.20007578254166;;
;;;;41.223559737873806;69.20007737739273;;
40;Yunusobod tumani;Кашгар;Istiqlol ko‘chasidagi Hyatt Regency qarshisidagi avtoturargoh;41.31584183953874;69.27636246663019;175 m2;бўш
;;;;41.315742857060954;69.27678156218415;;
;;;;41.315701710067934;69.27675935253306;;
;;;;41.31579847679884;69.27633909074831;;
41;Yunusobod tumani;Кашгар;Markaz 4-mavzesi, 12-uy qarshisidagi avtoturargoh FidoBiznes ;41.31868170039915;69.27739339556886;70 m2;бўш
;;;;41.318667797334506;69.27744874048739;;
;;;;41.31853598918032;69.27738978169549;;
;;;;41.318545661187756;69.27734360161382;;
42;Mirzo Ulug‘bek tumani;Мустакиллик;Mustaqillik ko‘chasi, 6-uy manzilida joylashgan “UzbeEnergo” binosi yaqinidagi avtoturargohni DXSh ;41.3149405 7796338;69.2808812203477 ;140 m2;бўш
;;;;41.3148180662 3696;69.2811898149 7387 ;;
;;;;41.3147722932 44815;69.2811547842 6385 ;;
;;;;41.3148778859 55354;69.2808460896 2742 ;;
43;Mirzo Ulug‘bek tumani;Лашкарбеги;Hamid Olimjon maydoni, 13a-uy manzilida joylashgan“Xalq Bank” avtoturargoh;41.318592334106725;69.2933820764885 ;140 m2;бўш
;;;;41.3185728536 5645;69.2933376142 525 ;;
;;;;41.3187705391 73045;69.2931153897 504 ;;
;;;;41.3187941396 5393;69.2931746886 811 ;;
44;Mirzo Ulug‘bek tumani;Хабиб Абдуллаев; Yalang‘och dahasi qarshisida joylashgan Tennis korti avtoturargoh;41.3492091 7627895;69.34407349086126 ;140 m2;10:09:42:01:03:0275 Хакимият М.Улугбекского района 
;;;;41.3492119530 4924;69.3441289736 32 ;;
;;;;41.3489495980 2362;69.3441400425 8846 ;;
;;;;41.3489564956 17536;69.3440864367 8526 ;;
45;Yunusobod tumani;Матонат; Abdulla Qodiriy ko‘chasidagi avtoturargoh ;41.32608816524143;69.27400551321105;70 m2;бўш
;;;;41.326081213769974;69.27406475656805;;
;;;;41.32593388666753;69.27402036123848;;
;;;;41.32595191580808;69.27397218905676;;
46;Yunusobod tumani;Шайх Шивли;Chingiz Aytmatov ko‘chasi, 37-uyda joylashgan Mo‘ljal: “Belfarm”.qarshisidagi avto turargoh;41.334130124013704;69.29210300701679;70 m2;бўш
;;;;41.33412683884973;69.29214269161547;;
;;;;41.333953345642115;69.29212261159478;;
;;;;41.33395832231734;69.29207638635957;;
