Тошкент шаҳрида режалаштирилаётган дала дўконлари манзилли рўйхати;;;;;
Яанги хаёт тумани ;;;;;
№;МФЙ номи ;Савдо нуқтаси жойлашган манзили ;Бўш ер майдони кв.м ;локатция;
7;Белариқ;Сирожиддинов кўчаси, Бўрижар канали тарафда;100;"41°16'50.94""Н 69°14'03.86""Е";Ахоли гавжум жой
;;;;;
8;Қушбеги;Ш.Руставелли кўчаси, ЮДЖУ институт тарафида;200;"41°15'28.39""Н 69°13'05.79""Е";Ахоли гавжум жой
;;;;;
9;Дамариқ;КХАЙ кўчаси, Шохмед клиникаси тарафида;200;"41°16'14.89""Н 69°15'58.58""Е";Ахоли гавжум жой
;;;;;
10;Тепа;Бобур кўчаси, НЕХТ тарафида;100;"41°17'46.71""Н 69°15'02.45""Е";Ахоли гавжум жой
11;Дамариқ;Кичик бешёғоч кўчаси,;200;"41°16'49.63""Н 69°16'06.87""Е";Ахоли гавжум жой
;;8-раддомни кириш қисмида;;;
12;Бошлиқ;Қушбеги кўчаси,;100;"41°16'08.64""Н 69°15'03.49""Е";Ахоли гавжум жой
;;127-сонли мактабнинг кириш қисмида;;;
Миробод тумани;;;;;
№;МФЙ номи;Савдо нуқтаси жойлашган манзили;Бўш ер майдони квм;локатция ;Изоҳ
1;Фурқат;Янгизамон кўчаси 6а уй олди;100;41.280461, 69.302078;Ахоли гавжум жой
2;Қорасув;Фарғона ёъли 2-муюлиш коъчаси, 119/4-уй тўғрисида ;200;41.268181, 69.306467;Ахоли гавжум жой
3;Зиёнур;Қоъйлиқ-2 даҳаси 20 ва 21-уйлар орасида ;100;41.251960, 69.302096;Ахоли гавжум жой
4;Юксалиш;Куйлик-3 дахаси, 15 ва 28-уйлар оралиғида;150;41.252163, 69.309929;Ахоли гавжум жой
5;Янги Қоъйлиқ;Қоъйлиқ-4 даҳаси 20 ва 20/1-уйлар олдида;100;41.245363, 69.309435;Ахоли гавжум жой
6;Чинор;Қоъйлиқ-1 даҳаси 8А-уй ёнида;100;41.248034, 69.313926;Ахоли гавжум жой
7;Олтинкоъл;А.Фитрат кўчаси 4-6-уйлар ён тарафи;80;41.272722, 69.308716;Ахоли гавжум жой
Олмазор тумани;;;;;
№;МФЙ номи;Савдо нуқтаси жойлашган манзили;Бўш ер майдони;локатция ;Изоҳ
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
Учтепа тумани;;;;;
№;МФЙ номи;Савдо нуқтаси жойлашган манзили;Бўш ер майдони квм;локатция ;Изоҳ
1;Кўхна Чўпонота ;13 мавзе 16-уй олди;100;41.289089669368195, 69.18705376078255;Ахоли гавжум жой
2;Қор ёғди;Бешқайрағоч ва Қорёғди 1 тор кўчалари кесишувида;100;41.32036638767721, 69.17477134401463;Ахоли гавжум жой
3;Кўкча Оқтепа;Али Қушча ва Коинот кўчалари кесишувида;100;41.30685033600678, 69.18736768535024;Ахоли гавжум жой
4;Чаманзор;Маҳалла биноси ён тарафи;100;41.298165323484646, 69.1655795763038;Ахоли гавжум жой
5;Кўркамобод;Кўкча Дарвоза кўчаси, 593а уй ёнида;100;41.30531186959342, 69.15389057611044;Ахоли гавжум жой
6;Боғистон;15 мавзе Фарҳод кўчаси 25 уй орқаси;100;41.29782288070309, 69.1822750464445;Ахоли гавжум жой
7;Фарход;23 мавзе Катта Хирмонтепа кўчаси 69 уй ёнида;100;41.29091244562384, 69.17749502995429;Ахоли гавжум жой
8;Нуробод;Фозилтепа ва Ширин кўчалари кесишувида;100;41.28385275261325, 69.16525692929707;Ахоли гавжум жой
9;Дийдор;30 мавзе 52 уй орқаси;150;41.266693924872584, 69.15366141092531;Ахоли гавжум жой
10;Хамдўст;25 мавзе Лутфий кўчаси 36 уй орқаси;100;41.274655997136186, 69.1664751108309;Ахоли гавжум жой
;;;;;
